epoc (ms),timestamp (GMT-08:00),elapsed (s),Flexion/Extension (Â°)
1547686579461.2031,2019-01-16T16.56.19.461,0.0,-4.2
1547686579561.2031,2019-01-16T16.56.19.561,0.1,-4.2
1547686579661.203,2019-01-16T16.56.19.661,0.2,-4.2
1547686579761.203,2019-01-16T16.56.19.761,0.3,-4.2
1547686579861.203,2019-01-16T16.56.19.861,0.4,-4.2
1547686579961.2031,2019-01-16T16.56.19.961,0.5,-4.2
1547686580061.2031,2019-01-16T16.56.20.061,0.6,-4.2
1547686580161.203,2019-01-16T16.56.20.161,0.7,-4.1
1547686580261.203,2019-01-16T16.56.20.261,0.8,-4.1
1547686580361.203,2019-01-16T16.56.20.361,0.9,-4.1
1547686580461.2031,2019-01-16T16.56.20.461,1.0,-3.9
1547686580561.2031,2019-01-16T16.56.20.561,1.1,-3.1
1547686580661.203,2019-01-16T16.56.20.661,1.2,-3.0
1547686580761.203,2019-01-16T16.56.20.761,1.3,-2.8
1547686580861.203,2019-01-16T16.56.20.861,1.4,-2.4
1547686580961.2031,2019-01-16T16.56.20.961,1.5,-1.9
1547686581061.2031,2019-01-16T16.56.21.061,1.6,-1.4
1547686581161.203,2019-01-16T16.56.21.161,1.7,0.7
1547686581261.203,2019-01-16T16.56.21.261,1.8,3.3
1547686581361.203,2019-01-16T16.56.21.361,1.9,3.9
1547686581461.2031,2019-01-16T16.56.21.461,2.0,0.2
1547686581561.2031,2019-01-16T16.56.21.561,2.1,-1.5
1547686581661.203,2019-01-16T16.56.21.661,2.2,-0.1
1547686581761.203,2019-01-16T16.56.21.761,2.3,0.8
1547686581861.203,2019-01-16T16.56.21.861,2.4,2.6
1547686581961.2031,2019-01-16T16.56.21.961,2.5,5.2
1547686582061.2031,2019-01-16T16.56.22.061,2.6,9.9
1547686582161.203,2019-01-16T16.56.22.161,2.7,11.7
1547686582261.203,2019-01-16T16.56.22.261,2.8,14.2
1547686582361.203,2019-01-16T16.56.22.361,2.9,16.9
1547686582461.2031,2019-01-16T16.56.22.461,3.0,18.6
1547686582561.2031,2019-01-16T16.56.22.561,3.1,20.3
1547686582661.203,2019-01-16T16.56.22.661,3.2,22.2
1547686582761.203,2019-01-16T16.56.22.761,3.3,24.1
1547686582861.203,2019-01-16T16.56.22.861,3.4,25.8
1547686582961.2031,2019-01-16T16.56.22.961,3.5,26.8
1547686583061.2031,2019-01-16T16.56.23.061,3.6,27.9
1547686583161.203,2019-01-16T16.56.23.161,3.7,29.8
1547686583261.203,2019-01-16T16.56.23.261,3.8,31.9
1547686583361.203,2019-01-16T16.56.23.361,3.9,32.8
1547686583461.2031,2019-01-16T16.56.23.461,4.0,34.1
1547686583561.2031,2019-01-16T16.56.23.561,4.1,36.4
1547686583661.203,2019-01-16T16.56.23.661,4.2,38.8
1547686583761.203,2019-01-16T16.56.23.761,4.3,40.9
1547686583861.203,2019-01-16T16.56.23.861,4.4,44.2
1547686583961.2031,2019-01-16T16.56.23.961,4.5,51.0
1547686584061.2031,2019-01-16T16.56.24.061,4.6,53.7
1547686584161.203,2019-01-16T16.56.24.161,4.7,55.0
1547686584261.203,2019-01-16T16.56.24.261,4.8,56.9
1547686584361.203,2019-01-16T16.56.24.361,4.9,59.1
1547686584461.2031,2019-01-16T16.56.24.461,5.0,61.9
1547686584561.2031,2019-01-16T16.56.24.561,5.1,64.3
1547686584661.203,2019-01-16T16.56.24.661,5.2,66.5
1547686584761.203,2019-01-16T16.56.24.761,5.3,70.1
1547686584861.203,2019-01-16T16.56.24.861,5.4,72.7
1547686584961.2031,2019-01-16T16.56.24.961,5.5,74.5
1547686585061.2031,2019-01-16T16.56.25.061,5.6,76.6
1547686585161.203,2019-01-16T16.56.25.161,5.7,78.5
1547686585261.203,2019-01-16T16.56.25.261,5.8,80.1
1547686585361.203,2019-01-16T16.56.25.361,5.9,81.6
1547686585461.2031,2019-01-16T16.56.25.461,6.0,83.7
1547686585561.2031,2019-01-16T16.56.25.561,6.1,85.9
1547686585661.203,2019-01-16T16.56.25.661,6.2,86.8
1547686585761.203,2019-01-16T16.56.25.761,6.3,87.6
1547686585861.203,2019-01-16T16.56.25.861,6.4,87.5
1547686585961.2031,2019-01-16T16.56.25.961,6.5,87.2
1547686586061.2031,2019-01-16T16.56.26.061,6.6,86.6
1547686586161.203,2019-01-16T16.56.26.161,6.7,86.2
1547686586261.203,2019-01-16T16.56.26.261,6.8,86.0
1547686586361.203,2019-01-16T16.56.26.361,6.9,85.8
1547686586461.2031,2019-01-16T16.56.26.461,7.0,85.3
1547686586561.2031,2019-01-16T16.56.26.561,7.1,84.3
1547686586661.203,2019-01-16T16.56.26.661,7.2,83.3
1547686586761.203,2019-01-16T16.56.26.761,7.3,82.1
1547686586861.203,2019-01-16T16.56.26.861,7.4,80.5
1547686586961.2031,2019-01-16T16.56.26.961,7.5,78.2
1547686587061.2031,2019-01-16T16.56.27.061,7.6,76.8
1547686587161.203,2019-01-16T16.56.27.161,7.7,75.9
1547686587261.203,2019-01-16T16.56.27.261,7.8,74.6
1547686587361.203,2019-01-16T16.56.27.361,7.9,72.7
1547686587461.2031,2019-01-16T16.56.27.461,8.0,71.2
1547686587561.2031,2019-01-16T16.56.27.561,8.1,70.1
1547686587661.203,2019-01-16T16.56.27.661,8.2,68.5
1547686587761.203,2019-01-16T16.56.27.761,8.3,67.4
1547686587861.203,2019-01-16T16.56.27.861,8.4,66.2
1547686587961.2031,2019-01-16T16.56.27.961,8.5,65.0
1547686588061.2031,2019-01-16T16.56.28.061,8.6,62.3
1547686588161.203,2019-01-16T16.56.28.161,8.7,60.2
1547686588261.203,2019-01-16T16.56.28.261,8.8,58.8
1547686588361.203,2019-01-16T16.56.28.361,8.9,56.2
1547686588461.2031,2019-01-16T16.56.28.461,9.0,52.1
1547686588561.2031,2019-01-16T16.56.28.561,9.1,45.3
1547686588661.203,2019-01-16T16.56.28.661,9.2,40.0
1547686588761.203,2019-01-16T16.56.28.761,9.3,22.7
1547686588861.203,2019-01-16T16.56.28.861,9.4,21.9
1547686588961.2031,2019-01-16T16.56.28.961,9.5,22.9
1547686589061.2031,2019-01-16T16.56.29.061,9.6,22.9
1547686589161.203,2019-01-16T16.56.29.161,9.7,20.8
1547686589261.203,2019-01-16T16.56.29.261,9.8,18.2
1547686589361.203,2019-01-16T16.56.29.361,9.9,17.1
1547686589461.2031,2019-01-16T16.56.29.461,10.0,14.1
1547686589561.2031,2019-01-16T16.56.29.561,10.1,12.9
1547686589661.203,2019-01-16T16.56.29.661,10.2,9.7
1547686589761.203,2019-01-16T16.56.29.761,10.3,6.7
1547686589861.203,2019-01-16T16.56.29.861,10.4,5.7
1547686589961.2031,2019-01-16T16.56.29.961,10.5,4.8
1547686590061.2031,2019-01-16T16.56.30.061,10.6,2.5
1547686590161.203,2019-01-16T16.56.30.161,10.7,1.1
1547686590261.203,2019-01-16T16.56.30.261,10.8,0.5
1547686590361.203,2019-01-16T16.56.30.361,10.9,-0.5
1547686590461.2031,2019-01-16T16.56.30.461,11.0,-2.1
1547686590561.2031,2019-01-16T16.56.30.561,11.1,-2.4
1547686590661.203,2019-01-16T16.56.30.661,11.2,-2.6
1547686590761.203,2019-01-16T16.56.30.761,11.3,-2.8
1547686590861.203,2019-01-16T16.56.30.861,11.4,-2.9
1547686590961.2031,2019-01-16T16.56.30.961,11.5,-2.9
1547686591061.2031,2019-01-16T16.56.31.061,11.6,-2.7
1547686591161.203,2019-01-16T16.56.31.161,11.7,-2.4
1547686591261.203,2019-01-16T16.56.31.261,11.8,-2.0
1547686591361.203,2019-01-16T16.56.31.361,11.9,-0.2
1547686591461.2031,2019-01-16T16.56.31.461,12.0,4.4
1547686591561.2031,2019-01-16T16.56.31.561,12.1,9.0
1547686591661.203,2019-01-16T16.56.31.661,12.2,13.1
1547686591761.203,2019-01-16T16.56.31.761,12.3,18.0
1547686591861.203,2019-01-16T16.56.31.861,12.4,24.2
1547686591961.2031,2019-01-16T16.56.31.961,12.5,30.6
1547686592061.2031,2019-01-16T16.56.32.061,12.6,36.8
1547686592161.203,2019-01-16T16.56.32.161,12.7,40.0
1547686592261.203,2019-01-16T16.56.32.261,12.8,42.3
1547686592361.203,2019-01-16T16.56.32.361,12.9,46.1
1547686592461.2031,2019-01-16T16.56.32.461,13.0,50.2
1547686592561.2031,2019-01-16T16.56.32.561,13.1,52.5
1547686592661.203,2019-01-16T16.56.32.661,13.2,54.9
1547686592761.203,2019-01-16T16.56.32.761,13.3,58.2
1547686592861.203,2019-01-16T16.56.32.861,13.4,60.0
1547686592961.2031,2019-01-16T16.56.32.961,13.5,61.4
1547686593061.2031,2019-01-16T16.56.33.061,13.6,65.0
1547686593161.203,2019-01-16T16.56.33.161,13.7,67.3
1547686593261.203,2019-01-16T16.56.33.261,13.8,70.3
1547686593361.203,2019-01-16T16.56.33.361,13.9,75.3
1547686593461.2031,2019-01-16T16.56.33.461,14.0,80.2
1547686593561.2031,2019-01-16T16.56.33.561,14.1,81.9
1547686593661.203,2019-01-16T16.56.33.661,14.2,83.9
1547686593761.203,2019-01-16T16.56.33.761,14.3,86.1
1547686593861.203,2019-01-16T16.56.33.861,14.4,86.5
1547686593961.2031,2019-01-16T16.56.33.961,14.5,87.1
1547686594061.2031,2019-01-16T16.56.34.061,14.6,87.7
1547686594161.203,2019-01-16T16.56.34.161,14.7,86.5
1547686594261.203,2019-01-16T16.56.34.261,14.8,85.0
1547686594361.203,2019-01-16T16.56.34.361,14.9,83.7
1547686594461.2031,2019-01-16T16.56.34.461,15.0,85.5
1547686594561.2031,2019-01-16T16.56.34.561,15.1,85.5
1547686594661.203,2019-01-16T16.56.34.661,15.2,83.2
1547686594761.203,2019-01-16T16.56.34.761,15.3,78.9
1547686594861.203,2019-01-16T16.56.34.861,15.4,82.6
1547686594961.2031,2019-01-16T16.56.34.961,15.5,79.4
1547686595061.2031,2019-01-16T16.56.35.061,15.6,77.9
1547686595161.203,2019-01-16T16.56.35.161,15.7,79.5
1547686595261.203,2019-01-16T16.56.35.261,15.8,76.7
1547686595361.203,2019-01-16T16.56.35.361,15.9,75.2
1547686595461.2031,2019-01-16T16.56.35.461,16.0,72.1
1547686595561.2031,2019-01-16T16.56.35.561,16.1,69.3
1547686595661.203,2019-01-16T16.56.35.661,16.2,68.5
1547686595761.203,2019-01-16T16.56.35.761,16.3,65.2
1547686595861.203,2019-01-16T16.56.35.861,16.4,60.5
1547686595961.2031,2019-01-16T16.56.35.961,16.5,61.8
1547686596061.2031,2019-01-16T16.56.36.061,16.6,60.9
1547686596161.203,2019-01-16T16.56.36.161,16.7,63.8
1547686596261.203,2019-01-16T16.56.36.261,16.8,61.4
1547686596361.203,2019-01-16T16.56.36.361,16.9,59.2
1547686596461.2031,2019-01-16T16.56.36.461,17.0,58.9
1547686596561.2031,2019-01-16T16.56.36.561,17.1,56.9
1547686596661.203,2019-01-16T16.56.36.661,17.2,51.4
1547686596761.203,2019-01-16T16.56.36.761,17.3,47.8
1547686596861.203,2019-01-16T16.56.36.861,17.4,43.8
1547686596961.2031,2019-01-16T16.56.36.961,17.5,46.5
1547686597061.2031,2019-01-16T16.56.37.061,17.6,44.7
1547686597161.203,2019-01-16T16.56.37.161,17.7,45.4
1547686597261.203,2019-01-16T16.56.37.261,17.8,43.5
1547686597361.203,2019-01-16T16.56.37.361,17.9,38.8
1547686597461.2031,2019-01-16T16.56.37.461,18.0,23.7
1547686597561.2031,2019-01-16T16.56.37.561,18.1,25.3
1547686597661.203,2019-01-16T16.56.37.661,18.2,27.0
1547686597761.203,2019-01-16T16.56.37.761,18.3,25.0
1547686597861.203,2019-01-16T16.56.37.861,18.4,23.8
1547686597961.2031,2019-01-16T16.56.37.961,18.5,20.5
1547686598061.2031,2019-01-16T16.56.38.061,18.6,17.9
1547686598161.203,2019-01-16T16.56.38.161,18.7,15.3
1547686598261.203,2019-01-16T16.56.38.261,18.8,11.9
1547686598361.203,2019-01-16T16.56.38.361,18.9,11.1
1547686598461.2031,2019-01-16T16.56.38.461,19.0,10.4
1547686598561.2031,2019-01-16T16.56.38.561,19.1,9.1
1547686598661.203,2019-01-16T16.56.38.661,19.2,10.2
1547686598761.203,2019-01-16T16.56.38.761,19.3,11.0
1547686598861.203,2019-01-16T16.56.38.861,19.4,6.3
1547686598961.2031,2019-01-16T16.56.38.961,19.5,5.8
1547686599061.2031,2019-01-16T16.56.39.061,19.6,5.9
1547686599161.203,2019-01-16T16.56.39.161,19.7,7.8
1547686599261.203,2019-01-16T16.56.39.261,19.8,9.3
1547686599361.203,2019-01-16T16.56.39.361,19.9,8.6
1547686599461.2031,2019-01-16T16.56.39.461,20.0,4.7
1547686599561.2031,2019-01-16T16.56.39.561,20.1,5.3
1547686599661.203,2019-01-16T16.56.39.661,20.2,5.9
1547686599761.203,2019-01-16T16.56.39.761,20.3,5.6
1547686599861.203,2019-01-16T16.56.39.861,20.4,4.5
1547686599961.2031,2019-01-16T16.56.39.961,20.5,4.6
1547686600061.2031,2019-01-16T16.56.40.061,20.6,5.6
1547686600161.203,2019-01-16T16.56.40.161,20.7,3.9
1547686600261.203,2019-01-16T16.56.40.261,20.8,-0.1
1547686600361.203,2019-01-16T16.56.40.361,20.9,-0.4
1547686600461.2031,2019-01-16T16.56.40.461,21.0,6.1
1547686600561.2031,2019-01-16T16.56.40.561,21.1,8.7
1547686600661.203,2019-01-16T16.56.40.661,21.2,10.1
1547686600761.203,2019-01-16T16.56.40.761,21.3,13.2
1547686600861.203,2019-01-16T16.56.40.861,21.4,9.0
1547686600961.2031,2019-01-16T16.56.40.961,21.5,5.8
1547686601061.2031,2019-01-16T16.56.41.061,21.6,8.3
1547686601161.203,2019-01-16T16.56.41.161,21.7,7.1
1547686601261.203,2019-01-16T16.56.41.261,21.8,6.1
1547686601361.203,2019-01-16T16.56.41.361,21.9,4.9
1547686601461.2031,2019-01-16T16.56.41.461,22.0,2.5
1547686601561.2031,2019-01-16T16.56.41.561,22.1,-0.5
1547686601661.203,2019-01-16T16.56.41.661,22.2,0.5
1547686601761.203,2019-01-16T16.56.41.761,22.3,5.7
1547686601861.203,2019-01-16T16.56.41.861,22.4,10.0
1547686601961.2031,2019-01-16T16.56.41.961,22.5,12.5
1547686602061.2031,2019-01-16T16.56.42.061,22.6,16.9
1547686602161.203,2019-01-16T16.56.42.161,22.7,23.7
1547686602261.203,2019-01-16T16.56.42.261,22.8,33.6
1547686602361.203,2019-01-16T16.56.42.361,22.9,34.0
1547686602461.2031,2019-01-16T16.56.42.461,23.0,35.0
1547686602561.2031,2019-01-16T16.56.42.561,23.1,38.2
1547686602661.203,2019-01-16T16.56.42.661,23.2,41.3
1547686602761.203,2019-01-16T16.56.42.761,23.3,48.3
1547686602861.203,2019-01-16T16.56.42.861,23.4,54.6
1547686602961.2031,2019-01-16T16.56.42.961,23.5,61.7
1547686603061.2031,2019-01-16T16.56.43.061,23.6,66.5
1547686603161.203,2019-01-16T16.56.43.161,23.7,73.0
1547686603261.203,2019-01-16T16.56.43.261,23.8,80.9
1547686603361.203,2019-01-16T16.56.43.361,23.9,85.0
1547686603461.2031,2019-01-16T16.56.43.461,24.0,85.4
1547686603561.2031,2019-01-16T16.56.43.561,24.1,85.7
1547686603661.203,2019-01-16T16.56.43.661,24.2,86.0
1547686603761.203,2019-01-16T16.56.43.761,24.3,86.4
1547686603861.203,2019-01-16T16.56.43.861,24.4,88.2
1547686603961.2031,2019-01-16T16.56.43.961,24.5,89.8
1547686604061.2031,2019-01-16T16.56.44.061,24.6,90.1
1547686604161.203,2019-01-16T16.56.44.161,24.7,90.0
1547686604261.203,2019-01-16T16.56.44.261,24.8,89.4
1547686604361.203,2019-01-16T16.56.44.361,24.9,87.0
1547686604461.2031,2019-01-16T16.56.44.461,25.0,83.1
1547686604561.2031,2019-01-16T16.56.44.561,25.1,76.8
1547686604661.203,2019-01-16T16.56.44.661,25.2,73.5
1547686604761.203,2019-01-16T16.56.44.761,25.3,65.5
1547686604861.203,2019-01-16T16.56.44.861,25.4,56.6
1547686604961.2031,2019-01-16T16.56.44.961,25.5,51.6
1547686605061.2031,2019-01-16T16.56.45.061,25.6,41.7
1547686605161.203,2019-01-16T16.56.45.161,25.7,31.7
1547686605261.203,2019-01-16T16.56.45.261,25.8,24.9
1547686605361.203,2019-01-16T16.56.45.361,25.9,19.5
1547686605461.2031,2019-01-16T16.56.45.461,26.0,14.3
1547686605561.2031,2019-01-16T16.56.45.561,26.1,8.5
1547686605661.203,2019-01-16T16.56.45.661,26.2,2.2
1547686605761.203,2019-01-16T16.56.45.761,26.3,0.8
1547686605861.203,2019-01-16T16.56.45.861,26.4,-0.0
1547686605961.2031,2019-01-16T16.56.45.961,26.5,-0.7
1547686606061.2031,2019-01-16T16.56.46.061,26.6,-1.3
1547686606161.203,2019-01-16T16.56.46.161,26.7,-1.1
1547686606261.203,2019-01-16T16.56.46.261,26.8,2.2
1547686606361.203,2019-01-16T16.56.46.361,26.9,8.6
1547686606461.2031,2019-01-16T16.56.46.461,27.0,22.1
1547686606561.2031,2019-01-16T16.56.46.561,27.1,42.8
1547686606661.203,2019-01-16T16.56.46.661,27.2,59.2
1547686606761.203,2019-01-16T16.56.46.761,27.3,67.3
1547686606861.203,2019-01-16T16.56.46.861,27.4,78.8
1547686606961.2031,2019-01-16T16.56.46.961,27.5,82.1
1547686607061.2031,2019-01-16T16.56.47.061,27.6,85.2
1547686607161.203,2019-01-16T16.56.47.161,27.7,85.9
1547686607261.203,2019-01-16T16.56.47.261,27.8,87.7
1547686607361.203,2019-01-16T16.56.47.361,27.9,88.3
1547686607461.2031,2019-01-16T16.56.47.461,28.0,89.8
1547686607561.2031,2019-01-16T16.56.47.561,28.1,89.8
1547686607661.203,2019-01-16T16.56.47.661,28.2,86.7
1547686607761.203,2019-01-16T16.56.47.761,28.3,80.0
1547686607861.203,2019-01-16T16.56.47.861,28.4,72.2
1547686607961.2031,2019-01-16T16.56.47.961,28.5,61.9
1547686608061.2031,2019-01-16T16.56.48.061,28.6,40.6
1547686608161.203,2019-01-16T16.56.48.161,28.7,25.2
1547686608261.203,2019-01-16T16.56.48.261,28.8,17.0
1547686608361.203,2019-01-16T16.56.48.361,28.9,7.1
1547686608461.2031,2019-01-16T16.56.48.461,29.0,1.5
1547686608561.2031,2019-01-16T16.56.48.561,29.1,-0.2
1547686608661.203,2019-01-16T16.56.48.661,29.2,-1.2
1547686608761.203,2019-01-16T16.56.48.761,29.3,-1.0
1547686608861.203,2019-01-16T16.56.48.861,29.4,0.8
1547686608961.2031,2019-01-16T16.56.48.961,29.5,8.4
1547686609061.2031,2019-01-16T16.56.49.061,29.6,22.4
1547686609161.203,2019-01-16T16.56.49.161,29.7,32.7
1547686609261.203,2019-01-16T16.56.49.261,29.8,46.5
1547686609361.203,2019-01-16T16.56.49.361,29.9,58.2
1547686609461.2031,2019-01-16T16.56.49.461,30.0,65.9
1547686609561.2031,2019-01-16T16.56.49.561,30.1,74.5
1547686609661.203,2019-01-16T16.56.49.661,30.2,81.0
1547686609761.203,2019-01-16T16.56.49.761,30.3,84.0
1547686609861.203,2019-01-16T16.56.49.861,30.4,84.0
1547686609961.2031,2019-01-16T16.56.49.961,30.5,85.6
1547686610061.2031,2019-01-16T16.56.50.061,30.6,89.7
1547686610161.203,2019-01-16T16.56.50.161,30.7,89.6
1547686610261.203,2019-01-16T16.56.50.261,30.8,86.5
1547686610361.203,2019-01-16T16.56.50.361,30.9,79.6
1547686610461.2031,2019-01-16T16.56.50.461,31.0,59.9
1547686610561.2031,2019-01-16T16.56.50.561,31.1,31.3
1547686610661.203,2019-01-16T16.56.50.661,31.2,20.5
1547686610761.203,2019-01-16T16.56.50.761,31.3,14.1
1547686610861.203,2019-01-16T16.56.50.861,31.4,7.4
1547686610961.2031,2019-01-16T16.56.50.961,31.5,-0.5
1547686611061.2031,2019-01-16T16.56.51.061,31.6,-1.0
1547686611161.203,2019-01-16T16.56.51.161,31.7,-1.2
1547686611261.203,2019-01-16T16.56.51.261,31.8,-1.4
1547686611361.203,2019-01-16T16.56.51.361,31.9,-1.5
1547686611461.2031,2019-01-16T16.56.51.461,32.0,-1.6
1547686611561.2031,2019-01-16T16.56.51.561,32.1,-1.6
1547686611661.203,2019-01-16T16.56.51.661,32.2,-1.7
1547686611761.203,2019-01-16T16.56.51.761,32.3,-1.7
1547686611861.203,2019-01-16T16.56.51.861,32.4,-1.7
1547686611961.2031,2019-01-16T16.56.51.961,32.5,-1.7
1547686612061.2031,2019-01-16T16.56.52.061,32.6,-1.7
1547686612161.203,2019-01-16T16.56.52.161,32.7,-1.7
1547686612261.203,2019-01-16T16.56.52.261,32.8,-1.7
1547686612361.203,2019-01-16T16.56.52.361,32.9,-1.8
1547686612461.2031,2019-01-16T16.56.52.461,33.0,-1.8
1547686612561.2031,2019-01-16T16.56.52.561,33.1,-1.8
1547686612661.203,2019-01-16T16.56.52.661,33.2,-1.8
1547686612761.203,2019-01-16T16.56.52.761,33.3,-1.8
1547686612861.203,2019-01-16T16.56.52.861,33.4,-1.8